NAME,SOLD,COST
"Жесткий диск внешний 2TB Seagate Basic STJL2000400 (2.5"", USB 3.0, Black)",11,83.59
"Жесткий диск внешний 2TB Seagate Basic STJL2000400 (2.5"", USB 3.0, Black)",6,85.15
"Жесткий диск внешний 2TB Seagate Expansion STKM2000400 (2.5"", USB 3.0, Black)",13,89.83
"Жесткий диск внешний 2TB Seagate Expansion STKM2000400 (2.5"", USB 3.0, Black)",2,86.15
"Жесткий диск внешний 2TB Seagate Expansion STKM2000400 (2.5"", USB 3.0, Black)",5,80.5
"Жесткий диск внешний 2TB Seagate Expansion STKM2000400 (2.5"", USB 3.0, Black)",9,85.9
"Жесткий диск внешний 2TB Toshiba Canvio Basics HDTB520EK3AA (2.5"", USB 3.0, Black)",3,84.95
"Жесткий диск внешний 4TB Seagate Expansion STKM4000400 (2.5"", USB 3.0, Black)",2,123.08
"Жесткий диск внешний 4TB Seagate Expansion STKM4000400 (2.5"", USB 3.0, Black)",14,134.41
"Жесткий диск внешний 4TB Seagate Expansion STKP4000400 (3.5"", USB 3.0, Black)",1,131.03
"Жесткий диск внешний 4TB Seagate Expansion STKP4000400 (3.5"", USB 3.0, Black)",3,134.18
"Жесткий диск внешний 4TB Toshiba Canvio Basics HDTB540EK3CA (2.5"", USB 3.2, Black)",9,132.32
"Жесткий диск внешний 4TB Toshiba Canvio Basics HDTB540EK3CA (2.5"", USB 3.2, Black)",4,123.54
"Жесткий диск внешний 5TB WD Elements Portable (2.5"", USB 3.0)",4,149.88
"Жесткий диск внешний 5TB WD Elements Portable (2.5"", USB 3.0)",5,162.49
"Жесткий диск внешний 6TB Seagate One Touch Hub STLC6000400 (3.5"", USB 3.0, Black)",1,177.5
"Жесткий диск внешний 8TB Seagate One Touch Hub STLC8000400 (3.5"", USB 3.0, Black)",1,214
"Жесткий диск внешний 8TB Seagate One Touch Hub STLC8000400 (3.5"", USB 3.0, Black)",4,215.38
"Жесткий диск Внешний корпус для HDD AgeStar 3UB2P2 (SATA-3, 2.5"", Black, USB 3.0)",5,9.07
"Жесткий диск Внешний корпус для HDD AgeStar 3UB2P2 (SATA-3, 2.5"", Black, USB 3.0)",2,8.5
"Жесткий диск Внешний корпус для HDD AgeStar SUBCP1 (SATA-3, 2.5"", Black, USB 2.0)",2,7.82
"Жесткий диск Внешний корпус для HDD Ugreen 30848 (SATA-3, 2.5"", Black, USB 3.0)",5,8.5
"Жесткий диск Внешний корпус для HDD Ugreen 70609 (SATA-3, 2.5"", Black, USB 3.0)",1,7.75
"Жесткий диск Внешний корпус для HDD Ugreen 70609 (SATA-3, 2.5"", Black, USB 3.0)",3,9.33
"Жесткий диск Внешний корпус для HDD Ugreen 80555 (SATA-3, 2.5"", Black, USB 3.0)",3,8.33
"Жесткий диск Внешний корпус для HDD Ugreen 80555 (SATA-3, 2.5"", Black, USB 3.0)",2,8
"Жесткий диск внешний корпус для SSD Patriot TXD PV810UPNGM (M.2 NVMe, PCIe3.0, Alluminium, Dark Silver, USB-C)",8,15.24
