Supplier,Source,Brand,Category,Model,Product Name,Price,Currency,Stock,MOQ,Warranty,Notes,Date Added
Proks SIA,Price List,,General,CT1000BX500SSD1,Crucial SSD BX500 2.5 1TB SATA Internal SSD 540MB/s,114.5,USD,240,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,CT2000BX500SSD1,Crucial SSD BX500 2.5 2TB SATA Internal SSD 540MB/s,197.1,USD,200,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,CT500P310SSD8,Crucial SSD P310 500GB PCIe Gen4 NVMe 2280 M.2 w/o HS,103.9,USD,240,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,CT1000P310SSD8,Crucial SSD P310 1TB PCIe Gen4 NVMe 2280 M.2 w/o HS,140.5,USD,240,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,CT2000P310SSD8,Crucial SSD P310 2TB PCIe Gen4 NVMe 2280 M.2 w/o HS,221.9,USD,29,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,CT1000P510SSD8,Crucial SSD P510 1TB PCIe Gen5 NVMe M.2 SSD w/o HS,151.1,USD,200,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,CT480E100SSD8,Crucial SSD E100 48GB PCIe 4.0 NVMe 4500/2500 MB/s,75.0,USD,240,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,CT1000E100SSD8,Crucial SSD E100 1TB PCIe 4.0 NVMe 5000/3000 MB/s,127.5,USD,209,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,PN,WD SSD,0.0,USD,0,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,WDS500G2G0C,WD SSD Green SN350 NVMe M.2 2280 500GB,93.3,USD,77,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,WDS500G4G0E,WD SSD Green SN3000 NVMe Gen4 500GB,93.3,USD,35,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,WDS100T3B0A,WD SSD Blue SA510 SATA 1TB,201.9,USD,25,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,WDS500G3B0E,WD SSD Blue SN580 500GB NVMe M.2 2280 PCIe 4.0,115.7,USD,166,NO,,Price DAP EU,02/03/2026
